編號,菜品名稱,單位,價格
6017,京椰菜(切料),斤,1
6017-A,棷菜粒,斤,1
602,菜心苗(切料),斤,1
6020,紹菜(切料),斤,1
6020-A,津白粒,斤,1
6022,旺菜(切料),斤,1
6026,小棠菜(切料),斤,1
6026-A,小棠菜粒,斤,1
6029-A,油麥菜粒,斤,1
6038,西芹(切料),斤,1
6038-A,西芹肉,斤,1
6041,韭菜花(切料),斤,1
6058,秋葵(切料),斤,1
606,莧菜(切料),斤,1
6064,蕃薯肉(切料),斤,1
607,通菜(切料),斤,1
608,青通菜(切料),斤,1
609,唐生菜(切料),斤,1
609-A,唐生菜粒,斤,1
6101,四季豆(切料),斤,1
6103,蜜豆肉(切料),斤,1
6105,荷蘭豆肉(切料),斤,1
6109,白蘿蔔肉(切料),斤,1
6113,青蘿白肉(切料),斤,1
6115,薯仔肉(切料),斤,1
6117,甘筍肉(切料),斤,1
6118-A,冬瓜(去皮去囊),斤,1
6118-B,冬瓜肉 (去皮去囊),斤,1
6118-C,冬瓜粒 (去皮去囊),斤,1
6119,冬瓜肉(切料),斤,1
6122,節瓜肉(切料),斤,1
6122-A,節瓜粒,斤,1
6124,蓮藕肉(切料),斤,1
6126,芋頭肉(切料),斤,1
6128,粉葛肉(切料),斤,1
6130,沙葛肉(切料),斤,1
6133,茄瓜肉,斤,1
6133-A,矮瓜肉,斤,1
6135,涼瓜肉(切料),斤,1
6137,合掌瓜肉(切料),斤,1
6139,南瓜肉(切料),斤,1
6140-A,勝瓜粒,斤,1
6142,老黃瓜(切料),斤,1
6142-A,老黃瓜肉(有皮),斤,1
6144,青木瓜肉(切料),斤,1
6145,翠肉瓜(切料),斤,1
6145-A,翠肉瓜肉(有囊),斤,1
6145-B,翠肉瓜粒,斤,1
6146,青瓜(切料),斤,1
6146-A,青瓜肉,斤,1
6154,熟木瓜肉-切料,斤,1
6166,粟米肉(切料),條,1
6166-A,去衣粟米,條,1
6201,西椒(切料),斤,1
6205,紅西椒(切料),斤,1
6206,黃西椒(切料),斤,1
6220,洋蔥肉(切料),斤,1
6222,芫茜(切料),斤,1
6421-A,去衣栗子肉,斤,1
6425,椰子肉(切料),斤,1
6465,淮山肉(切料),斤,1
701,腸粉,條,1
702,檬粉,斤,1
703,生麵(幼),斤,1
703A,生麫(粗),斤,1
704,冰雞,隻,1
705,河粉(湯),斤,1
706,炒麵,斤,1
707,蛋炒麵,斤,1
708,伊麵(大)十個一條,條,1
708a,伊麵(細)十個一條,條,1
709,上海麵(粗),斤,1
709a,上海麵(幼),斤,1
710,檬粉,斤,1
710a,瀨粉,斤,1
711,炒河粉,斤,1
712,蝦子麵,斤,1
713,上海雲吞皮,斤,1
714,上海麵,斤,1
715,豬扒,磅,1
716,金沙骨,磅,1
717,豬頸肉,磅,1
718,排骨,磅,1
719,雞槌,磅,1
720,雞全翼,磅,1
721,雞中翼,磅,1
722,四骨牛仔骨,磅,1
723,牛肋腩,磅,1
724,炸鳳爪,磅,1
725,新鮮瘦肉,磅,1
726,新鮮瘦肉粒,磅,1
727,新鮮瘦肉絲,磅,1
728,新鮮瘦肉碎,磅,1
729,新鮮半肥瘦肉碎,磅,1
730,新鮮排骨,磅,1
731,燒買,包,1
732,火腿,磅,1
733,金妹芝士腸,包,1
734,牛丸,包,1
735,黑椒牛丸,包,1
736,烏冬,包,1
737,墨魚丸,包,1
738,貢丸,包,1
739,魚旦,包,1
740,魚片,斤,1
741,紅薯粉,斤,1
742,出前一丁(3箱/1扎),扎,1
743,油麵,斤,1
744,米粉 (3KG/包),包,1
745,粉絲,包,1
746,粗麵,斤,1
747,春卷皮,包,1
748,蝦米腸,條,1
749,牛栢葉,斤,1
801,鯇魚,斤,1
801a,鯇魚腩,斤,1
802,蝦滑(3斤/包),包,1
803,鯪魚,斤,1
804,大桂,斤,1
805,細桂,斤,1
806,蠔仔(4斤包),包,1
807,元貝,斤,1
808,鯉魚,斤,1
809,野生水魚,斤,1
810,大陸水魚,斤,1
811,紅則魚,斤,1
812,黃立倉,斤,1
813,烏頭,斤,1
814,大眼雞,斤,1
815,白鱔,斤,1
816,倉魚,斤,1
817,鱸魚,斤,1
818,筍殼,斤,1
819,鯪魚肉(4斤/包),包,1
820,標桂,斤,1
821,黃花,斤,1
822,叉尾,斤,1
823,鮮大魚頭,斤,1
824,白則魚,斤,1
825,大魚頭(4斤/包)4-5頭,包,1
826,黑則魚,斤,1
827,九肚魚,斤,1
828,鮮尤魚,斤,1
829,魚卜,斤,1
830,邊魚,斤,1
831,脆肉鯇,斤,1
832,大魚,斤,1
833,細魚頭(4斤/包)6-8頭,包,1
